1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 0 TRANS57741 tumblr_nbxgairu4F1slwrsuo1_400 What does the dog do before pull up a cover ?lie on a bed	What does the dog do before pull up a cover ?pick ice	What does the dog do before pull up a cover ?start smile	What does the dog do before pull up a cover ?grab lady head	What does the dog do before pull up a cover ?jump on ledge
2 4 TRANS56323 tumblr_njp3miZ3JJ1tkzrlwo1_540 What does the woman do before lower hand ?stick tongue out	What does the woman do before lower hand ?smile	What does the woman do before lower hand ?touch girls hair	What does the woman do before lower hand ?pick friend up	What does the woman do before lower hand ?raise hands
2 0 TRANS160 tumblr_neh9miutYj1rwg91go1_100 What does the man do after put hand on hips ?extend hand	What does the man do after put hand on hips ?vomit	What does the man do after put hand on hips ?smile	What does the man do after put hand on hips ?fart	What does the man do after put hand on hips ?smells flower
1 3 TRANS57171 tumblr_no4mczo7UB1qirwpco1_500 What does the girl do before kiss boy ?walk away from another man on right	What does the girl do before kiss boy ?smile at cat	What does the girl do before kiss boy ?touch hair	What does the girl do before kiss boy ?move forward	What does the girl do before kiss boy ?throw table
0 4 TRANS4826 tumblr_nd2y0o0hsA1tm7c4co1_250 What does the man do after fix coat collar ?inhale smoke	What does the man do after fix coat collar ?run with buck of water	What does the man do after fix coat collar ?lead horse	What does the man do after fix coat collar ?pet puppy	What does the man do after fix coat collar ?gesture with hand
4 3 TRANS2379 tumblr_n9hseziTAg1rk979lo1_250 What does the guy in back do before hide ?twirl pool cue	What does the guy in back do before hide ?motor in the water	What does the guy in back do before hide ?record the stage	What does the guy in back do before hide ?sneak up behind	What does the guy in back do before hide ?support friend
0 1 TRANS57197 tumblr_nhy4mwvSbf1u05z12o1_500 What does the lady do before dance with man ?move hand	What does the lady do before dance with man ?drink from glass	What does the lady do before dance with man ?close the door car	What does the lady do before dance with man ?run on a field	What does the lady do before dance with man ?push glass up
0 4 TRANS26996 tumblr_ncdisr8Ig21tmf1dho1_250 What does the man do after put glow stick in mouth ?show the silence sign	What does the man do after put glow stick in mouth ?talk into microphone	What does the man do after put glow stick in mouth ?shoot ball into hoop	What does the man do after put glow stick in mouth ?dance	What does the man do after put glow stick in mouth ?lift hand
2 0 TRANS56714 tumblr_nhvd9bsgbE1u7ielzo1_500 What does the man with blue shirt do after turn head ?start talking	What does the man with blue shirt do after turn head ?smile	What does the man with blue shirt do after turn head ?touch	What does the man with blue shirt do after turn head ?lay down	What does the man with blue shirt do after turn head ?blow a kiss
4 2 TRANS7221 tumblr_ne5uusuvNn1u2p22ho1_250 What does the man and a woman do before start to clap follow by the woman ?tilt head up	What does the man and a woman do before start to clap follow by the woman ?inhale cigarette	What does the man and a woman do before start to clap follow by the woman ?sit counter adjacent from each other	What does the man and a woman do before start to clap follow by the woman ?wave	What does the man and a woman do before start to clap follow by the woman ?drum the steer wheel
4 0 TRANS28170 tumblr_nhywm4Iq3L1rbdewvo1_500 What does the man do after laugh ?shove other man's face	What does the man do after laugh ?dance	What does the man do after laugh ?light a joint	What does the man do after laugh ?show hook 'em horn sign on a hand	What does the man do after laugh ?become scary
4 2 TRANS43763 tumblr_nhb7hs6pSN1s0o2flo1_400 What does the man do before circle hand ?close eye	What does the man do before circle hand ?open eye	What does the man do before circle hand ?shake finger	What does the man do before circle hand ?run	What does the man do before circle hand ?point two index finger up
0 1 TRANS32466 tumblr_nhnngcB3Zn1thtmfro1_400 What does the lady do after stare ?serious	What does the lady do after stare ?walk away	What does the lady do after stare ?lean back	What does the lady do after stare ?roll across the field	What does the lady do after stare ?spin upside down on pole
4 0 TRANS53954 tumblr_nqttc4g8jR1u7q0qeo1_400 What does the person who play soccer with a blue and red cloth do after overcome some other players ?shoot to the goal	What does the person who play soccer with a blue and red cloth do after overcome some other players ?open game system	What does the person who play soccer with a blue and red cloth do after overcome some other players ?touch face	What does the person who play soccer with a blue and red cloth do after overcome some other players ?smile	What does the person who play soccer with a blue and red cloth do after overcome some other players ?lay on bed
0 3 TRANS9862 tumblr_ngt6jyMD2T1tghv5fo1_400 What does the man do after stand ?pat arm	What does the man do after stand ?twirl	What does the man do after stand ?frown	What does the man do after stand ?surprise	What does the man do after stand ?sway back and forth play an instrument
0 3 TRANS55302 tumblr_nkgnrucLOa1r0ia88o1_400 What does the woman do after pick up things ?throw a ball	What does the woman do after pick up things ?shake hand	What does the woman do after pick up things ?smile	What does the woman do after pick up things ?open the door	What does the woman do after pick up things ?stick out tongue
3 0 TRANS899 tumblr_nrch75ohMt1uxcqdvo1_250 What does the person in white shirt do before throw money on seat ?wave money around	What does the person in white shirt do before throw money on seat ?smokes cigarette	What does the person in white shirt do before throw money on seat ?gasp in surprise	What does the person in white shirt do before throw money on seat ?eat	What does the person in white shirt do before throw money on seat ?pout
1 4 TRANS1108 tumblr_n9ycr8zaLA1to7bdco1_250 What does the woman do after adjust Bowie ?twirl hair around finger	What does the woman do after adjust Bowie ?smile	What does the woman do after adjust Bowie ?vomit	What does the woman do after adjust Bowie ?fart	What does the woman do after adjust Bowie ?extend arm
4 0 TRANS28628 tumblr_nkwg77Ux711r5ygbco1_250 What does the dog do after follow hand ?eat snow	What does the dog do after follow hand ?slide	What does the dog do after follow hand ?slip from rope	What does the dog do after follow hand ?cross the street	What does the dog do after follow hand ?bounce head
2 0 TRANS53516 tumblr_nec05sr01U1tfbgdvo1_500 What does the man in hat do after talk ?raise arm	What does the man in hat do after talk ?smile	What does the man in hat do after talk ?touch forehead with finger	What does the man in hat do after talk ?pick up paper	What does the man in hat do after talk ?stick tonque out
0 2 TRANS43326 tumblr_nkn55rkkCU1uo5r7lo1_400 What does the guy do after eat ?close eye	What does the guy do after eat ?point	What does the guy do after eat ?dance	What does the guy do after eat ?drop head to side	What does the guy do after eat ?pick up bag
2 3 TRANS27908 tumblr_n90ljfXkjj1si20l6o1_250 What does the man do after look off in distance ?dance with hand	What does the man do after look off in distance ?sing closely into microphone	What does the man do after look off in distance ?shake hand at the men	What does the man do after look off in distance ?point off in distance	What does the man do after look off in distance ?lick the woman's face
1 2 TRANS35984 tumblr_neu0ownwqR1qlskl4o1_400 What does the man do after put up finger ?lean to right	What does the man do after put up finger ?smile	What does the man do after put up finger ?throw hand foward	What does the man do after put up finger ?begin to take off jacket	What does the man do after put up finger ?lift ball
1 3 TRANS48604 tumblr_n963jwNmCx1rxctwgo1_500 What does the man do after stand ?blow kiss	What does the man do after stand ?roll and stand	What does the man do after stand ?touch other man's face	What does the man do after stand ?walk in girlfriends shoe	What does the man do after stand ?flip around
2 1 TRANS38977 tumblr_n9ek7fl0sD1tr4l02o1_250 What does the woman do before pose ?talk to girl	What does the woman do before pose ?swing a toy horse	What does the woman do before pose ?leave	What does the woman do before pose ?eat a nut	What does the woman do before pose ?cry
0 4 TRANS12654 tumblr_ni1qdoBVER1u5ha1qo1_250 What does the man do after hold hand out ?motion with hand	What does the man do after hold hand out ?cover eyes	What does the man do after hold hand out ?wave hand	What does the man do after hold hand out ?press lips together	What does the man do after hold hand out ?eat candy
3 1 TRANS11862 tumblr_nedri9dH3Q1u2sl2ko1_250 What does the woman do after adjust hair ?talk	What does the woman do after adjust hair ?lower hand	What does the woman do after adjust hair ?stare	What does the woman do after adjust hair ?smile	What does the woman do after adjust hair ?crash on track
