4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
1 3 TRANS47338 tumblr_n9i5voLhjh1suxjvso1_500 What does the woman do after spin ?stop smiling	What does the woman do after spin ?run on the ground	What does the woman do after spin ?talk to the screen	What does the woman do after spin ?bow	What does the woman do after spin ?start shaking head
1 3 TRANS46580 tumblr_nbi1rcR9tI1tjt4u9o1_400 What does the man in stripped shirt do after smile ?smile	What does the man in stripped shirt do after smile ?shake head	What does the man in stripped shirt do after smile ?kiss other man	What does the man in stripped shirt do after smile ?point at food	What does the man in stripped shirt do after smile ?flip
3 4 TRANS48774 tumblr_nd1jigD3041rgqetqo1_250 What do the man with glasses do after grab headphone cable ?jump	What do the man with glasses do after grab headphone cable ?flip hair	What do the man with glasses do after grab headphone cable ?smile	What do the man with glasses do after grab headphone cable ?head move to other side	What do the man with glasses do after grab headphone cable ?bring it behind him
3 1 TRANS46608 tumblr_npc4t2PSQF1tg8vdzo1_400 What does the girl with bloody hand do after grab wrist ?talk calmly	What does the girl with bloody hand do after grab wrist ?bend down in anguish	What does the girl with bloody hand do after grab wrist ?happy	What does the girl with bloody hand do after grab wrist ?start dance	What does the girl with bloody hand do after grab wrist ?say hello
3 1 TRANS18232 tumblr_ndcgedttF01qd1gq2o1_400 What does the girl do after make a peace sign ?extend right arm forward	What does the girl do after make a peace sign ?laugh	What does the girl do after make a peace sign ?set teapot down	What does the girl do after make a peace sign ?brush hair	What does the girl do after make a peace sign ?wave
2 0 TRANS2675 tumblr_ndhnqlxADu1qlev96o1_250 What does the woman do before blow kiss ?wave hand	What does the woman do before blow kiss ?snarl	What does the woman do before blow kiss ?talks	What does the woman do before blow kiss ?gasp in surprise	What does the woman do before blow kiss ?on man's chest
3 0 TRANS57172 tumblr_no4mczo7UB1qirwpco1_500 What does the girl do after move forward ?kiss boy	What does the girl do after move forward ?run at wall	What does the girl do after move forward ?point	What does the girl do after move forward ?start shake head from side to side	What does the girl do after move forward ?open jacket
1 4 TRANS58121 tumblr_new8owyMCV1s81cpko1_500 What does the woman do before close mouth ?jump and fall down	What does the woman do before close mouth ?smile	What does the woman do before close mouth ?throw hat	What does the woman do before close mouth ?stick tongue out	What does the woman do before close mouth ?open mouth
2 4 TRANS34845 tumblr_nfzfabyUbK1rro3hqo1_400 What do the eyes do before open look up ?shake right paw	What do the eyes do before open look up ?flip	What do the eyes do before open look up ?roll eye while turn away	What do the eyes do before open look up ?spin kick in the air	What do the eyes do before open look up ?close down position
3 1 TRANS40561 tumblr_ncdocwevQG1sfz1a5o1_500 What does the lady do before smile ?kiss man	What does the lady do before smile ?lower microphone	What does the lady do before smile ?smile	What does the lady do before smile ?talk	What does the lady do before smile ?kick a ball
0 1 TRANS54572 tumblr_nrghqj6tjN1tsrxt7o1_500 What does the woman do after straight face ?smile	What does the woman do after straight face ?start smile	What does the woman do after straight face ?shake hand	What does the woman do after straight face ?touch cheek	What does the woman do after straight face ?lay down
3 2 TRANS28615 tumblr_nko9kdhd8b1shcu57o1_250 What does the man do before lift head ?kick paper heart on the easel	What does the man do before lift head ?sing	What does the man do before lift head ?remove helmet	What does the man do before lift head ?dance from behind	What does the man do before lift head ?love heart
1 4 TRANS37962 tumblr_ndbh9dqQku1sgrzwto1_400 What does the man do after walks backwards ?not smile	What does the man do after walks backwards ?roll eyeball around	What does the man do after walks backwards ?have spit water onto the other man	What does the man do after walks backwards ?touch floor by forehead	What does the man do after walks backwards ?walks frontwards
4 1 TRANS49500 tumblr_njxbbnTRFK1tk4iz1o1_500 What does the woman do after wave hand ?run on all four feet	What does the woman do after wave hand ?smile	What does the woman do after wave hand ?raise fists	What does the woman do after wave hand ?throw bald guy into fridge	What does the woman do after wave hand ?push hair out of face
1 0 TRANS45136 tumblr_nhwanmiWzD1qlkuvao1_250 What does the woman in bed do after kiss finger ?touch frog	What does the woman in bed do after kiss finger ?raise eyebrows	What does the woman in bed do after kiss finger ?walk	What does the woman in bed do after kiss finger ?run	What does the woman in bed do after kiss finger ?stop short when a tree fall
0 4 TRANS49862 tumblr_no8yanZX4U1tuo9b6o1_250 What does the man on the left do after lean over ?stop twirl the pencil	What does the man on the left do after lean over ?raise an eyebrow	What does the man on the left do after lean over ?walk away	What does the man on the left do after lean over ?run down street	What does the man on the left do after lean over ?touch the ground to sit
0 4 TRANS36131 tumblr_nrlc3i7KYK1sqiy4oo1_400 What does the guy in back do before bounce ?straight face	What does the guy in back do before bounce ?slide off table	What does the guy in back do before bounce ?bite lip	What does the guy in back do before bounce ?kiss man's hand	What does the guy in back do before bounce ?raise arm
2 4 TRANS35422 tumblr_nai0l5mxue1tosnwso1_400 What does the man on right do after talking ?push it over head	What does the man on right do after talking ?reach for woman	What does the man on right do after talking ?point	What does the man on right do after talking ?drop a cup	What does the man on right do after talking ?dancing
3 4 TRANS9081 tumblr_nh7xcgnN0f1tdvc4qo1_250 What does the man do before rub hair ?twirl woman	What does the man do before rub hair ?score goal	What does the man do before rub hair ?happy	What does the man do before rub hair ?talks	What does the man do before rub hair ?bend over
0 4 TRANS15407 tumblr_ne2ecomrOS1u2oapqo1_500 What does the man do before high fives the next guy ?kiss a man	What does the man do before high fives the next guy ?beg for food	What does the man do before high fives the next guy ?nod head	What does the man do before high fives the next guy ?rub cream on forehead	What does the man do before high fives the next guy ?high fives one guy
0 3 TRANS9159 tumblr_nf1k9o3fUJ1sd99qgo1_400 What does the man do before slide to girl ?fade from red	What does the man do before slide to girl ?wink	What does the man do before slide to girl ?blink	What does the man do before slide to girl ?raise arm	What does the man do before slide to girl ?shrug shoulder
1 2 TRANS756 tumblr_nbi0u01XqX1qje303o1_250 What does the woman do after upside down ?smirk	What does the woman do after upside down ?at the bottom of the stairs	What does the woman do after upside down ?kiss a guy	What does the woman do after upside down ?land on man	What does the woman do after upside down ?skate
3 1 TRANS50566 tumblr_nbld3tfp061sj9i7fo1_500 What does the man do after laugh ?smile	What does the man do after laugh ?pick up microphone	What does the man do after laugh ?raise shirt	What does the man do after laugh ?face away	What does the man do after laugh ?shake head
2 4 TRANS51767 tumblr_ncf1dpahl31sirc9vo1_500 What does the man do before play guitar ?shake woman's hand	What does the man do before play guitar ?smile	What does the man do before play guitar ?walk	What does the man do before play guitar ?touch face	What does the man do before play guitar ?put hand in air
1 4 TRANS5379 tumblr_nbhwzgChv21suehu3o1_250 What does the man do before turn around ?gasp	What does the man do before turn around ?eat	What does the man do before turn around ?sing	What does the man do before turn around ?play drum	What does the man do before turn around ?wave hand
3 1 TRANS35243 tumblr_nc4j30gzK91saylpgo1_400 What does the girl do before move a desk ?kiss woman on the forehead	What does the girl do before move a desk ?point	What does the girl do before move a desk ?shake fist	What does the girl do before move a desk ?hide	What does the girl do before move a desk ?eat
4 3 TRANS30142 tumblr_n9ngclyZ8r1rjumweo1_500 What does the woman do after open arm ?talking	What does the woman do after open arm ?speak	What does the woman do after open arm ?act as a human jumprope	What does the woman do after open arm ?bounce	What does the woman do after open arm ?man's hands
