0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
2 4 TRANS25750 tumblr_n9iumr0bzO1r3vv1oo1_500 What does the man do after stand ?punch the air with fists	What does the man do after stand ?run around	What does the man do after stand ?beat drum	What does the man do after stand ?blink	What does the man do after stand ?pose something
4 0 TRANS21856 tumblr_n9tu5qMGJv1tedtzfo1_250 What does the lady do after look up ?start sing	What does the lady do after look up ?bow	What does the lady do after look up ?bend body	What does the lady do after look up ?hug friend	What does the lady do after look up ?stare ahead
2 1 TRANS35698 tumblr_nig4b0b1ln1rs9adzo1_400 What does the man with a long hair do after sing ?run away	What does the man with a long hair do after sing ?hug the guitarist	What does the man with a long hair do after sing ?play guitar	What does the man with a long hair do after sing ?begin smile	What does the man with a long hair do after sing ?start walking
1 0 TRANS50861 tumblr_n90sg5l6AP1qfgmtoo1_500 What does the girl do before rest arm on leg ?talk into microphone	What does the girl do before rest arm on leg ?grab man	What does the girl do before rest arm on leg ?blow a bubble	What does the girl do before rest arm on leg ?hand movements	What does the girl do before rest arm on leg ?fall off of car
4 0 TRANS1380 tumblr_njvgb6Xeqp1u31omgo1_400 What does the man do after move both hand up and down ?pretend to pour something with left hand	What does the man do after move both hand up and down ?squat	What does the man do after move both hand up and down ?lift eyebrows up	What does the man do after move both hand up and down ?land in snow	What does the man do after move both hand up and down ?breaths on a window
1 0 TRANS49752 tumblr_ng8yynWpbN1u5tr2io1_250 What does the girl do after touch head ?drop hand	What does the girl do after touch head ?smile	What does the girl do after touch head ?laugh to a man	What does the girl do after touch head ?lie next to baby	What does the girl do after touch head ?talk to two people
1 2 TRANS56461 tumblr_nqzhj5POQg1u42ivmo1_400 What does the woman do before flip him to the ground ?point	What does the woman do before flip him to the ground ?run away	What does the woman do before flip him to the ground ?kiss the man	What does the woman do before flip him to the ground ?start dance on grass	What does the woman do before flip him to the ground ?open
2 1 TRANS47400 tumblr_nk6z38GkkR1tmbbaro1_400 What does the cat do after look to a mirror ?shake fist	What does the cat do after look to a mirror ?catch something in a closet	What does the cat do after look to a mirror ?touch corner of the ring	What does the cat do after look to a mirror ?face straight	What does the cat do after look to a mirror ?roll over upside down
4 0 TRANS43314 tumblr_nb42rddnzY1sz5gf8o1_500 What does the man do after try to open a door ?shout	What does the man do after try to open a door ?run up stairs	What does the man do after try to open a door ?close mouth	What does the man do after try to open a door ?open mouth wide	What does the man do after try to open a door ?place hand on microphone
0 4 TRANS7631 tumblr_n9frp5eApG1t5ojzdo1_250 What does the lady do before look to left ?slant head	What does the lady do before look to left ?skate on a board	What does the lady do before look to left ?yell	What does the lady do before look to left ?hug	What does the lady do before look to left ?pump fists
0 2 TRANS50435 tumblr_nhxbfztqER1tzhdamo1_500 What does the man do before point finger ?face forward	What does the man do before point finger ?smile	What does the man do before point finger ?jump	What does the man do before point finger ?touch another person	What does the man do before point finger ?open mouth wide
2 0 TRANS49910 tumblr_nnw930ljDB1uulx9yo1_500 What does the arm do after reach forward ?place hand on floor	What does the arm do after reach forward ?smile	What does the arm do after reach forward ?shake hand with other man	What does the arm do after reach forward ?blow	What does the arm do after reach forward ?laugh
1 3 TRANS22840 tumblr_nlzvvgA5FW1sm7eoto1_400 What does the girl on right do after fall down ?appear to take food	What does the girl on right do after fall down ?run	What does the girl on right do after fall down ?in elevator	What does the girl on right do after fall down ?hug a guy	What does the girl on right do after fall down ?high fives child
2 1 TRANS17751 tumblr_ndwshfViTc1sh0edno1_400 What does the woman do before make a potty face ?rub hand on thighs	What does the woman do before make a potty face ?display a pipe	What does the woman do before make a potty face ?lay head on bed	What does the woman do before make a potty face ?blow smoke	What does the woman do before make a potty face ?swim in water
0 3 TRANS3958 tumblr_naov96U3cP1qd0x24o1_250 What does the man in black hat do after stare intently ?menu on screen	What does the man in black hat do after stare intently ?tilt head	What does the man in black hat do after stare intently ?land on a skateboard	What does the man in black hat do after stare intently ?bust out laugh	What does the man in black hat do after stare intently ?shrug
3 4 TRANS26598 tumblr_nbk8k4hX2i1sggdd3o1_250 What does the man with a large hat do after laugh ?become scared	What does the man with a large hat do after laugh ?run	What does the man with a large hat do after laugh ?on back	What does the man with a large hat do after laugh ?find something from a bag	What does the man with a large hat do after laugh ?clap
1 2 TRANS39517 tumblr_nark4prC5V1sj6jsio1_400 What does the woman do before spread out arm ?kiss the man	What does the woman do before spread out arm ?walk away	What does the woman do before spread out arm ?adjust sunglasses	What does the woman do before spread out arm ?cry	What does the woman do before spread out arm ?surprise at bill
2 3 TRANS6935 tumblr_nhfkba24Lg1qgd51ro1_250 What does the performer do before hug man ?chew gum	What does the performer do before hug man ?tilt head	What does the performer do before hug man ?yell in excitement	What does the performer do before hug man ?touch forehead	What does the performer do before hug man ?perform trick
2 4 TRANS21012 tumblr_nd564udcM31thydgho1_400 What does the astronaut do after work on station ?show heart sign	What does the astronaut do after work on station ?cover mouth	What does the astronaut do after work on station ?punch a board into a barrel	What does the astronaut do after work on station ?wear black	What does the astronaut do after work on station ?slowly float away
0 1 TRANS11121 tumblr_ng6elw4KPi1tb8qpro1_250 What does the man with a black tie do before spread hand ?talk	What does the man with a black tie do before spread hand ?wipe hand on towel	What does the man with a black tie do before spread hand ?at the bottom of the stairs	What does the man with a black tie do before spread hand ?ride a bike	What does the man with a black tie do before spread hand ?singing
1 2 TRANS37534 tumblr_ncbz5sgQ9L1s0svh1o1_500 What does the woman do after walk ?looking down	What does the woman do after walk ?open	What does the woman do after walk ?spin	What does the woman do after walk ?speak	What does the woman do after walk ?eat something
0 2 TRANS25474 tumblr_nhs167nwkW1tp29hho1_400 What does the woman in gray do after smile ?blink eye	What does the woman in gray do after smile ?lick an oyster	What does the woman in gray do after smile ?stand up	What does the woman in gray do after smile ?bang cymbals together	What does the woman in gray do after smile ?sleep in a bed
1 3 TRANS29924 tumblr_nc9r9w1xkp1r1pnkho1_250 What does the man do after rub hair with hand ?pose	What does the man do after rub hair with hand ?bite lip	What does the man do after rub hair with hand ?hug bear	What does the man do after rub hair with hand ?start talk	What does the man do after rub hair with hand ?bend over
1 2 TRANS32305 tumblr_ndfkplzWvY1r8ici8o1_250 What does the woman do before run away ?breathe heavy and frown	What does the woman do before run away ?lean down	What does the woman do before run away ?hit a zombie	What does the woman do before run away ?speak into mic	What does the woman do before run away ?hide in can
4 2 TRANS40897 tumblr_nbjdlk6CGv1tlw7exo1_250 What does the cat do before look at camera ?step forward	What does the cat do before look at camera ?spin	What does the cat do before look at camera ?eat from bowl	What does the cat do before look at camera ?lift head	What does the cat do before look at camera ?touch back of head
3 4 TRANS35678 tumblr_nrhm8reSOg1u66q15o1_400 What does the man do after touch face ?kiss dog	What does the man do after touch face ?bite meat	What does the man do after touch face ?laugh	What does the man do after touch face ?smile	What does the man do after touch face ?set face on fist
4 3 TRANS28523 tumblr_nf1e5wHy5l1u2x6sko1_250 What does the girl do before look at a boy ?cut it	What does the girl do before look at a boy ?run left	What does the girl do before look at a boy ?spread out arm	What does the girl do before look at a boy ?stare at somthing	What does the girl do before look at a boy ?help other guy sit in a bassinet
